mean_1	cx	mut_pb	t_size	max_val
60	cxUniform	0.075	6	1.94501420184
60	cxUniform	0.075	8	1.9476174184
60	cxUniform	0.1	2	1.94993728189
60	cxUniform	0.1	4	1.94480095211
60	cxUniform	0.1	6	1.94675075866
60	cxUniform	0.1	8	1.94498593813
60	cxUniform	0.125	2	1.9492699395
60	cxUniform	0.125	4	1.95125948438
60	cxUniform	0.125	6	1.94799282654
60	cxUniform	0.125	8	1.94913050013
60	cxUniform	0.15	2	1.95137222402
60	cxUniform	0.15	4	1.94897750226
60	cxUniform	0.15	6	1.94493510245
60	cxUniform	0.15	8	1.95159472077
60	cxUniform	0.175	2	1.95196676807
60	cxUniform	0.175	4	1.94944719391
60	cxUniform	0.175	6	1.94808248501
60	cxUniform	0.175	8	1.95162744729
60	cxUniform	0.2	2	1.9515636371
60	cxUniform	0.2	4	1.95131477766
60	cxUniform	0.2	6	1.9477777234
60	cxUniform	0.2	8	1.95080715823
70	cxOnePoint	0.05	2	1.94629712328
70	cxOnePoint	0.05	4	1.94055676703
70	cxOnePoint	0.05	6	1.93462978887
70	cxOnePoint	0.05	8	1.93704315312
70	cxOnePoint	0.075	2	1.94845221725
70	cxOnePoint	0.075	4	1.94338459755
70	cxOnePoint	0.075	6	1.94439894763
70	cxOnePoint	0.075	8	1.9355569572
70	cxOnePoint	0.1	2	1.94076441296
70	cxOnePoint	0.1	4	1.93929201555
70	cxOnePoint	0.1	6	1.94045285325
70	cxOnePoint	0.1	8	1.93208467478
70	cxOnePoint	0.125	2	1.94058030448
70	cxOnePoint	0.125	4	1.94522449669
70	cxOnePoint	0.125	6	1.94702920621
70	cxOnePoint	0.125	8	1.93921407221
70	cxOnePoint	0.15	2	1.93838403994
70	cxOnePoint	0.15	4	1.94283031282
70	cxOnePoint	0.15	6	1.93864948015
70	cxOnePoint	0.15	8	1.94345870808
70	cxOnePoint	0.175	2	1.94563511675
70	cxOnePoint	0.175	4	1.94750026152
70	cxOnePoint	0.175	6	1.94113875117
70	cxOnePoint	0.175	8	1.94549707671
70	cxOnePoint	0.2	2	1.94787125768
70	cxOnePoint	0.2	4	1.94758813584
70	cxOnePoint	0.2	6	1.94312596077
70	cxOnePoint	0.2	8	1.93518612928
70	cxTwoPoint	0.05	2	1.93689797694
70	cxTwoPoint	0.05	4	1.93982458072
70	cxTwoPoint	0.05	6	1.93365883076
70	cxTwoPoint	0.05	8	1.94115769658
70	cxTwoPoint	0.075	2	1.94475695746
70	cxTwoPoint	0.075	4	1.93913271609
70	cxTwoPoint	0.075	6	1.93736248053
70	cxTwoPoint	0.075	8	1.94494773648
70	cxTwoPoint	0.1	2	1.94418659656
70	cxTwoPoint	0.1	4	1.93599024097
70	cxTwoPoint	0.1	6	1.94413039801
70	cxTwoPoint	0.1	8	1.93990259552
70	cxTwoPoint	0.125	2	1.94718952577
70	cxTwoPoint	0.125	4	1.94348037769
70	cxTwoPoint	0.125	6	1.94350103283
70	cxTwoPoint	0.125	8	1.94477117715
70	cxTwoPoint	0.15	2	1.94815133073
70	cxTwoPoint	0.15	4	1.94231058351
70	cxTwoPoint	0.15	6	1.93849934062
70	cxTwoPoint	0.15	8	1.9389327492
70	cxTwoPoint	0.175	2	1.94258071622
70	cxTwoPoint	0.175	4	1.9405162434
70	cxTwoPoint	0.175	6	1.9383203431
70	cxTwoPoint	0.175	8	1.94170361108
70	cxTwoPoint	0.2	2	1.94742105029
70	cxTwoPoint	0.2	4	1.94574260023
